Número de proceso,Nombre de proceso,Tipo de proceso,Fecha de apertura,Estado,Unidad ejecutora
414-3505-CME25,ADQUISICION DE LIBROS PARA HEMOTERAPIA,Contratación  Menor,31/10/2025 08:00 Hrs.,Publicado,414 - HTAL. MARIA CURIE  
414-1708-CDI25,SERVICIO DE REPARACION INTEGRAL VIDEOCOLONOSCOPIO - GASTROENTEROLOGIA,Contratación Directa,31/10/2025 09:00 Hrs.,Publicado,414 - HTAL. MARIA CURIE  
440-3462-CME25,SERVICIO DE REPARACIÒN DE CENTRIFUGAS.,Contratación  Menor,31/10/2025 09:00 Hrs.,Publicado,440 - HTAL. DALMACIO VELEZ SARSFIELD 
419-3562-CME25,RENOVACION ALQUILER CONCENTRADOR AYUDA MEDICA PACIENTE ROJAS ESQUIVEL LILY ANTONIA  DNI 93.875.035,Contratación  Menor,31/10/2025 09:00 Hrs.,Publicado,419 - HTAL. MARIA FERRER 
440-3461-CME25,PLANCHA DE PIEL,Contratación  Menor,31/10/2025 09:00 Hrs.,Publicado,440 - HTAL. DALMACIO VELEZ SARSFIELD 
438-3476-CME25,PINZA DE AGARRE PARA BIOPSIA,Contratación  Menor,31/10/2025 09:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
418-1740-CDI25,"NEUMONOLOGIA-ALQ. CPAP C/ TUBULADURA Y MASCARA BUCONASAL (PCTE: PAUCAR SALVATIERRA, ROSA) (ANUAL)",Contratación Directa,31/10/2025 09:00 Hrs.,Publicado,418 - HTAL. JUAN A. FERNANDEZ  
420-1759-CDI25,Marcapasos para intervención quirúrgica,Contratación Directa,31/10/2025 09:00 Hrs.,Publicado,420 - HTAL. RICARDO GUTIERREZ  
446-1792-LPU25,INCLUIR SALUD - ONTIVERO ARIEL - PROTESIS AMPUTACION MIEMBRO INFERIOR.,Licitación Pública,31/10/2025 09:00 Hrs.,Publicado,446 - INSTITUTO DE REHABILITACION PSICOFICA
440-3543-CME25,BATERIA RECARGABLE,Contratación  Menor,31/10/2025 09:00 Hrs.,Publicado,440 - HTAL. DALMACIO VELEZ SARSFIELD 
414-3508-CME25,ADQUISICION SOLUCION COLORANTE Y MONODISCO DE OXACILINA - LABORATORIO,Contratación  Menor,31/10/2025 09:00 Hrs.,Publicado,414 - HTAL. MARIA CURIE  
438-1734-CDI25,ADQUISICION REPARACION ARCO EN C,Contratación Directa,31/10/2025 09:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
419-1795-LPU25,ADQUISICION PLACAS PREPARADAS BACTERIOLOGIA,Licitación Pública,31/10/2025 09:00 Hrs.,Publicado,419 - HTAL. MARIA FERRER 
417-1719-CDI25,"Adquisición de separador, disector, aspirador y otros, instrumental quirurgíco - Quirófano",Contratación Directa,31/10/2025 09:00 Hrs.,Publicado,417 - HTAL. PEDRO DE ELIZALDE  
437-1789-LPU25,ADQUISICIÓN DE MEDICAMENTOS MARCAS ALTERNATIVAS A OCA,Licitación Pública,31/10/2025 09:00 Hrs.,Publicado,437 - HTAL. CAROLINA TOBAR GARCIA 
412-3599-CME25,ADQUISICION DE INSUMOS (Electrodo con broche de carbono compatible con resonancia magnetica),Contratación  Menor,31/10/2025 09:00 Hrs.,Publicado,412 - HTAL. COSME ARGERICH  
431-1749-CDI25,ADQUISICION DE GEL POINT - PTE. PAREDES MARCOS ALEJANDRO - SERVICIO DE CIRUGIA GENERAL,Contratación Directa,31/10/2025 09:00 Hrs.,Publicado,431 - HTAL. BERNARDINO RIVADAVIA  
416-3526-CME25,"Tubo para Oxigeno, etc. -Pedidos 41020/41066- Abastecimiento Inmediato- PLAN PACES",Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,416 - HTAL. CARLOS G. DURAND
446-1788-LPU25,SERVICIO DE REPARACION INTEGRAL DE MESA PARA OPERACIONES Y SIERRA OSCILANTE.,Licitación Pública,31/10/2025 10:00 Hrs.,Publicado,446 - INSTITUTO DE REHABILITACION PSICOFICA
500-1775-LPU25,"Servicio de emisión, reserva, adquisición y entrega de tickets y vouchers para viajes",Licitación Pública,31/10/2025 10:00 Hrs.,Publicado,500 - MINISTERIO DE CULTURA 
413-1810-LPU25,PROVISIÓN DE UN EQUIPO PARA MAGNETOTERAPIA,Licitación Pública,31/10/2025 10:00 Hrs.,Publicado,413 - HTAL. JOSE T. BORDA
410-1739-CDI25,PED. 464 SERVICIO DE REPARACIÓN PARA MESA DE ANESTESIA (MARCA DRAGER),Contratación Directa,31/10/2025 10:00 Hrs.,Publicado,410 - HTAL.TEODORO ALVAREZ  
410-3532-CME25,PED. 439 ADQUISICION DE FORCEPS DE TARNIER PARA SERVICIO DE OBSTETRICIA,Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,410 - HTAL.TEODORO ALVAREZ  
410-3558-CME25,PED 415 - SERVICIO DE REPARACION INTEGRAL (CENTRIFUGA REFRIGERADA) PARA UNIDAD HEMOTERAPIA,Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,410 - HTAL.TEODORO ALVAREZ  
427-3553-CME25,Eritrosedimentación,Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,427 - HTAL. IGNACIO PIROVANO
416-3444-CME25,"Cateter Auricular, etc. -Pedido 41144-Paciente REYNOSO, ANGEL- Abastecimiento Inmediato",Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,416 - HTAL. CARLOS G. DURAND
427-3550-CME25,Alquiler Equipo Microdebridador - Shaver. Pte: F. Avila,Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,427 - HTAL. IGNACIO PIROVANO
427-3549-CME25,Alquiler Doppler para Monitoreo PTE: A. Suvervil,Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,427 - HTAL. IGNACIO PIROVANO
427-3560-CME25,ALQUILER DE CPAP PARA LA PACIENTE FERNANDEZ A.,Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,427 - HTAL. IGNACIO PIROVANO
427-3516-CME25,Adquisición Tubos de Kher,Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,427 - HTAL. IGNACIO PIROVANO
427-3548-CME25,ADQ. SISTEMA CERRADO DE TRANSFERENCIA DE MEDICAMENTOS PARA HEMATOLOGIA,Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,427 - HTAL. IGNACIO PIROVANO
435-3565-CME25,: SERVICIO DE REPARACION DE  4 INCUBADORAS DAVID PARA LA UNIDAD DE NEONATOLOGIA,Contratación  Menor,31/10/2025 10:00 Hrs.,Publicado,435 - HTAL. RAMON SARDA  
401-1646-LPU25,Adquisición de Arcos en C y Equipos de Rayos X Móviles Digitales,Licitación Pública,31/10/2025 12:00 Hrs.,Publicado,401 - MINISTERIO DE SALUD
3202-1567-LPU25,Adquisición de municiones calibre 12/70 para la Policía de la Ciudad.,Licitación Pública,31/10/2025 13:00 Hrs.,Publicado,3202 - Ministerio de Seguridad
541-3556-CME25,ARTICULOS DE MERCERIA VARIOS,Contratación  Menor,31/10/2025 14:00 Hrs.,Publicado,541 - ENTE AUTARQUICO TEATRO COLON
416-1688-CDI25,REPARACION INTEGRAL DE SELLADOR DE TUBOS DE HEMODERIVADOS - PED. 41116 - EMP. TERUMO - ABAST. INMED.,Contratación Directa,31/10/2025 15:00 Hrs.,Publicado,416 - HTAL. CARLOS G. DURAND
2051-1607-CDI25,CONVENIO INTERADMINISTRATIVO ENTRE LA DGTAS Y LA UTN,Contratación Directa,31/10/2025 15:00 Hrs.,Publicado,2051 - JEFATURA DE GABINETE DE MINISTROS 
416-3518-CME25,"Catéter, Etc. Y Catéter Endovenoso Mediana Duración -Pedidos 40933 y 41123 - Abastecimiento 6 Meses",Contratación  Menor,31/10/2025 15:00 Hrs.,Publicado,416 - HTAL. CARLOS G. DURAND
445-1514-LPU25,Mantenimiento Preventivo del equipo PCR Real Time ABI 7500,Licitación Pública,03/11/2025 08:00 Hrs.,Publicado,445 - INSTITUTO PASTEUR  
414-1811-LPU25,ADQUISICION DE DETERMINACIONES PARA GASES ARTERIALES Y VENOSOS,Licitación Pública,03/11/2025 08:00 Hrs.,Publicado,414 - HTAL. MARIA CURIE  
426-3569-CME25,NITRÓGENO LÍQUIDO P/DERMATOLOGÍA (FARMACIA),Contratación  Menor,03/11/2025 09:00 Hrs.,Publicado,426 - HTAL. PARMENIO PIÑERO 
438-3474-CME25,LAMPARA DICROICA HALOGENA,Contratación  Menor,03/11/2025 09:00 Hrs.,Publicado,438 - HTAL. ENRIQUE TORNU
440-3539-CME25,GONADOTROFINA CORIONICA HUMANA (hCG),Contratación  Menor,03/11/2025 09:00 Hrs.,Publicado,440 - HTAL. DALMACIO VELEZ SARSFIELD 
440-3545-CME25,APOSITO HIDROCOLOIDE ,Contratación  Menor,03/11/2025 09:00 Hrs.,Publicado,440 - HTAL. DALMACIO VELEZ SARSFIELD 
417-3585-CME25,"Adquisición de solución polielectrolitica, solución fosfato potasio y ac. tranexámico -Farmacia.",Contratación  Menor,03/11/2025 09:00 Hrs.,Publicado,417 - HTAL. PEDRO DE ELIZALDE  
412-3554-CME25,ADQUISICION DE CAMAS,Contratación  Menor,03/11/2025 09:00 Hrs.,Publicado,412 - HTAL. COSME ARGERICH  
416-1736-CDI25,Marcapaso Cardiaco- Paciente Urdaneta Miguel-Abastecimiento Inmediato,Contratación Directa,03/11/2025 10:00 Hrs.,Publicado,416 - HTAL. CARLOS G. DURAND
441-3533-CME25,Insumos varios laboratorio,Contratación  Menor,03/11/2025 10:00 Hrs.,Publicado,441 - HTAL. ABEL ZUBIZARRETA
