Número de proceso,Nombre de proceso,Tipo de proceso,Fecha de apertura,Estado,Unidad ejecutora
2025-476-99-265,"ADQUISICION DESCARTADOR DE AGUJAS, PROLONGADOR ESTERIL Y OTROS",Procedimiento Abreviado,30/10/2025 08:00 Hrs.,Publicado,103.14.11.1 - Dir. Pcial. Hospitales - Hospital L. C. De Gandulfo - L De Zamora
2025-28-99-312,RECHAZADOS ALIMENTOS SECOS,Procedimiento Abreviado,30/10/2025 08:30 Hrs.,Publicado,103.19.19.1 - Dir. Pcial. Hospitales - Hospital J. Ingenieros - M. Romero
2025-187-99-309,Procedimiento abreviado 187/2025 4to llamado,Procedimiento Abreviado,30/10/2025 08:30 Hrs.,Publicado,103.19.18.1 - Dir. Pcial. Hospitales - Hospital A. Korn M. Romero
2025-176-99-2842,Adquisición de insumo protésico para el servicio de ortopedia y traumatologia,Procedimiento Abreviado,30/10/2025 08:30 Hrs.,Publicado,103.20.2.1 - Dir. Pcial. Hospitales - Hospital A. Balestrini - La Matanza
2025-224-99-304,REVELADOR Y FIJADOR PARA RAYOS,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.9.1.1 - Dir. Pcial. Hospitales - Hospital J.Penna Bahía Blanca
2025-402-99-260,PROTESIS TIPO VALVULAR AORTICA,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.19.8.1 - Dir. Pcial. Hospitales - Hospital Gral. San Martín - La Plata
2025-238-99-128,Procedimiento Abreviado N° 238/2025 - Adq. Insumos Laboratorio,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.13.5.1 - Dir. Pcial. Hospitales - Hospital Eva Perón - San Martín
2025-212-99-309,Procedimiento abreviado 212/25,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.19.18.1 - Dir. Pcial. Hospitales - Hospital A. Korn M. Romero
2025-173-99-334,PROCEDIMIENTO  ABREVIADO 173-2025 S/ ADQ PROTESIS NEUROCIRUGIA BANEGAS JONATAN DAVID 38486628,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.13.1.1 - Dir. Pcial. Hospitales - Hospital Gdor. Mercante - J.C.Paz
2025-169-99-280,PAP 169-2025,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.14.3.1 - Dir. Pcial. Hospitales - Hospital Dr. P. Fiorito - Avellaneda
2025-186-99-333,PA 186-2025 - RENTAS - DESCARTABLES RECHAZADOS 4,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.12.2.1 - Dir. Pcial. Hospitales - Hospital San José - Pergamino
2025-35-101-323,P.A. SAMO - F.P. N° 35/25 - Solicitud n° 739998,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.19.12.1 - Dir. Pcial. Hospitales - Hospital Dr. R. Gutiérrez - La Plata
2025-6-102-329,MICROSCOPIOS (SUMAR),Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.14.8.1 - Dir. Pcial. Hospitales - Hospital Oncología Lanús
2025-79-99-350,Insumos protesicos (Pte: Correa Pedro Domingo) 2do LLAMADO,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.14.12.1 - Dir. Pcial. Hospitales - Hospital Dr. I. Iriarte - Quilmes
2025-184-99-331,INSUMOS DE MANTENIMIENTO,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.19.10.1 - Dir. Pcial. Hospitales - Hospital San J. De Dios - La Plata
2025-164-99-300,Alimentacion Motivo solicitud: Adquisicion de insumos,Licitación Pública,30/10/2025 09:00 Hrs.,Publicado,103.14.1.1 - Dir. Pcial. Hospitales - Hospital  Dr. L. Melendez - Adrogué
2025-304-99-301,ADQUISICION DE INSUMOS DE DIAGNOSTICO POR IMAGENES,Procedimiento Abreviado,30/10/2025 09:00 Hrs.,Publicado,103.20.3.1 - Dir. Pcial. Hospitales - Hospital Simplemente Evita - Gonzalez Catán
2025-77-101-304,TELA ADHESIVA VARIAS,Procedimiento Abreviado,30/10/2025 09:30 Hrs.,Publicado,103.9.1.1 - Dir. Pcial. Hospitales - Hospital J.Penna Bahía Blanca
2025-240-99-128,Procedimiento Abreviado N°240/2025 - Adq. Protesis Pte. Moumtzian Umma,Procedimiento Abreviado,30/10/2025 09:30 Hrs.,Publicado,103.13.5.1 - Dir. Pcial. Hospitales - Hospital Eva Perón - San Martín
2025-204-115-309,Procedimiento abreviado 204/25 UPA LEZAMA Nº 7 SEGUNDO LLAMADO,Procedimiento Abreviado,30/10/2025 09:30 Hrs.,Publicado,103.19.18.1 - Dir. Pcial. Hospitales - Hospital A. Korn M. Romero
2025-153-101-274,Procedimiento Abreviado 153/2025 SAMO 2DO LLAMADO,Procedimiento Abreviado,30/10/2025 09:30 Hrs.,Publicado,103.14.15.1 - Dir. Pcial. Hospitales - Hospital Pte. Perón - Avellaneda
2025-170-99-280,PAP 170-2025,Procedimiento Abreviado,30/10/2025 09:30 Hrs.,Publicado,103.14.3.1 - Dir. Pcial. Hospitales - Hospital Dr. P. Fiorito - Avellaneda
2025-6-102-275,PA 06/2025 SUMAR - COMPRA DE MICROSCOPIO BINOCULAR PARA EL SERVICIO DE INGENIERIA,Procedimiento Abreviado,30/10/2025 09:30 Hrs.,Publicado,103.15.6.1 - Dir. Pcial. Hospitales - Hospital M. Y L. De La Vega - Moreno
2025-193-99-304,CANASTILLA P/LAPAROSCOPIA,Procedimiento Abreviado,30/10/2025 09:30 Hrs.,Publicado,103.9.1.1 - Dir. Pcial. Hospitales - Hospital J.Penna Bahía Blanca
2025-179-99-2842,adquisición de insumos  para el servicio de DIETOLOGIA Y NUTRICION,Procedimiento Abreviado,30/10/2025 09:30 Hrs.,Publicado,103.20.2.1 - Dir. Pcial. Hospitales - Hospital A. Balestrini - La Matanza
